2026-04-06 23:21:20 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:23 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:23 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:23 | ERROR    | core.market_data | Error fetching bars for SOL/USD: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:23 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:24 | WARNING  | core.market_data | Attempt 2/3 failed: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:26 | WARNING  | core.market_data | Attempt 3/3 failed: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:26 | ERROR    | core.market_data | All 3 attempts failed: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:26 | ERROR    | core.market_data | Error fetching bars for SOL/USD: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

2026-04-06 23:21:26 | WARNING  | __main__ | Failed to fetch data for SOL/USD
2026-04-06 23:21:27 | WARNING  | core.market_data | Attempt 1/3 failed: {"message":"invalid symbol: SOLUSD does not match ^[A-Z]+/[A-Z]+$"}

